year,symbol,gain_pct,low_date,high_date,low_price,high_price,avg_vol_b
2008,LVS,289.12,2008-10-28,2008-11-03,4.32,16.81,4.53
2008,MAC,184.48,2008-11-21,2008-12-22,7.6941,21.8878,1.57
2008,MBI,427.07,2008-06-30,2008-09-08,3.62,19.08,2.37
2008,MEE,264.99,2008-01-22,2008-06-30,26.22,95.7,4.64
2008,MS,260.66,2008-10-10,2008-10-14,6.71,24.2,17.76
2008,NCC,235.2,2008-09-29,2008-10-03,1.25,4.19,3.78
2008,PCX,409.45,2008-01-22,2008-06-19,32.28,164.45,1.61
2008,PCXCQ,409.45,2008-01-22,2008-06-19,16.14,82.225,1.06
2008,RF,208.89,2008-07-15,2008-09-19,6.41,19.8,3.75
2008,SITC,290.75,2008-12-01,2008-12-08,2.5742,10.0588,1.29
2008,SLG,274.19,2008-11-21,2008-12-08,8.2283,30.7898,1.8
2008,SOV,195.45,2008-09-29,2008-10-03,2.2,6.5,1.63
2008,TFC,549.14,2008-01-02,2008-09-19,6.98,45.31,5.45
2008,UAUA,497.5,2008-07-15,2008-11-03,2.8,16.73,2.97
2008,VIP,199.84,2008-10-24,2008-11-04,6.39,19.16,2.22
2008,WLT,263.84,2008-01-22,2008-07-02,30.78,111.99,3.29
2008,XL,285.22,2008-10-09,2008-10-14,3.45,13.29,2.18
2008,YRCW,420.11,2008-11-20,2008-12-04,9026.87,46950.0,5.07
2008,ZION,213.18,2008-07-15,2008-09-19,17.53,54.9,2.86
2009,AFL,340.9,2009-03-09,2009-12-16,5.415,23.875,4.35
2009,AIG,746.97,2009-03-06,2009-08-28,6.6,55.9,12.91
2009,AKS,350.09,2009-03-02,2009-09-17,5.39,24.26,2.8
2009,AMD,439.78,2009-01-23,2009-12-28,1.86,10.04,2.4
2009,BAC,654.94,2009-02-20,2009-10-15,2.53,19.1,77.48
2009,BCS,833.8,2009-01-23,2009-09-16,2.5346,23.6682,1.1
2009,BRCD,384.73,2009-03-06,2009-10-09,2.03,9.84,2.41
2009,BUCY,464.5,2009-03-03,2009-12-28,10.62,59.95,1.67
2009,CBS,375.82,2009-03-09,2009-12-16,3.06,14.56,2.1
2009,COF,450.0,2009-03-09,2009-10-23,7.8,42.9,6.44
2009,DD,400.85,2009-03-10,2009-11-17,7.9611,39.8732,6.18
2009,DNDN,1107.14,2009-03-09,2009-09-22,2.52,30.42,1.69
2009,DOMH,500.0,2009-01-23,2009-05-12,16952390510.6001,101714343063.6,19.98
2009,DWDP,400.85,2009-03-10,2009-11-17,5.89,29.5,6.18
2009,ETFC,391.53,2009-03-12,2009-04-17,5.9,29.0,1.67
2009,F,591.33,2009-02-20,2009-12-28,1.5,10.37,9.8
2009,FNM,507.01,2009-03-09,2009-08-25,0.3509,2.13,1.44
2009,GNW,1653.85,2009-03-06,2009-09-17,0.78,13.68,2.69
2009,GT,494.32,2009-03-06,2009-08-04,3.17,18.84,1.37
2009,HGSI,6877.78,2009-03-11,2009-12-23,0.45,31.4,1.87
2009,HIG,788.59,2009-03-06,2009-10-12,3.33,29.59,5.64
2009,IP,607.12,2009-03-06,2009-12-23,3.6702,25.9529,2.45
2009,LNC,473.47,2009-03-09,2009-10-12,4.9,28.1,2.84
2009,LVS,1402.17,2009-03-09,2009-09-16,1.38,20.73,8.12
2009,MAC,646.97,2009-03-30,2009-12-28,5.046,37.6923,1.29
2009,MEE,361.54,2009-03-06,2009-12-28,9.62,44.4,2.67
2009,MGM,687.29,2009-03-06,2009-09-16,1.81,14.25,4.52
2009,OSAT,2037.5,2009-08-31,2009-09-14,134328.375,2871268.875,58729.56
2009,PALM,498.99,2009-01-02,2009-09-23,3.0201,18.09,2.73
2009,PARA,375.82,2009-03-09,2009-12-16,3.06,14.56,2.12
2009,PFG,470.61,2009-03-09,2009-09-16,5.41,30.87,2.07
2009,PRU,426.72,2009-03-09,2009-09-17,10.63,55.99,5.51
2009,RCL,407.22,2009-03-03,2009-12-16,5.4,27.39,1.46
2009,SLG,563.58,2009-03-06,2009-12-28,8.5999,57.0673,1.69
2009,STX,523.83,2009-01-23,2009-12-31,2.98,18.59,2.53
2009,TGNA,764.32,2009-03-10,2009-12-28,0.9678,8.3649,1.23
2009,TXT,488.24,2009-03-06,2009-11-11,3.57,21.0,1.74
2009,VIAC,375.82,2009-03-09,2009-12-16,3.06,14.56,2.12
2009,VIP,368.81,2009-03-09,2009-11-16,4.81,22.55,1.31
2009,WHR,342.99,2009-03-09,2009-12-22,19.19,85.01,2.11
2009,WLT,427.19,2009-03-03,2009-12-24,15.19,80.08,2.04
2009,WYNN,416.55,2009-03-06,2009-09-23,14.5,74.9,3.83
2009,XL,643.16,2009-02-02,2009-12-28,2.56,19.025,1.52
2009,YGE,409.22,2009-03-02,2009-12-22,33.29,169.52,1.31
2009,YRCW,595.0,2009-07-08,2009-09-24,6675.0,46391.24,1.14
2010,AIG,186.35,2010-02-05,2010-12-28,21.54,61.68,7.12
2010,AKAM,123.06,2010-01-29,2010-12-08,24.5,54.65,3.85
2010,APC,128.66,2010-06-09,2010-12-31,34.54,78.98,7.77
2010,ATML,195.57,2010-02-09,2010-12-13,4.29,12.68,1.16
2010,BEXP,123.77,2010-01-27,2010-12-07,12.58,28.15,1.31
2010,BHC,125.81,2010-02-05,2010-12-15,13.64,30.8,1.25
2010,BIDU,199.07,2010-01-12,2010-11-11,38.466,115.04,20.79
2010,BKNG,147.0,2010-06-08,2010-11-09,173.32,428.1,7.01
2010,BPOP,148.82,2010-02-10,2010-04-30,17.0,42.3,1.05
2010,CF,141.04,2010-06-08,2010-12-30,11.512,27.748,4.77
2010,CMG,205.55,2010-01-07,2010-11-30,1.72,5.2554,2.49
2010,CMI,149.49,2010-01-27,2010-12-31,44.84,111.87,4.32
2010,CNP,199.82,2010-05-06,2010-11-04,5.67,17.0,1.2
2010,CRM,150.85,2010-02-05,2010-12-09,15.075,37.815,5.6
2010,CRUS,240.29,2010-02-05,2010-07-27,6.23,21.2,1.37
2010,CTRC,172.71,2010-01-04,2010-04-08,39.6426,108.11,1.57
2010,DECK,182.45,2010-02-05,2010-12-20,5.1856,14.6467,1.55
2010,DFFN,140.74,2010-11-12,2010-12-16,202500.0,487500.0,2.48
2010,DNDN,119.7,2010-01-04,2010-04-30,26.25,57.67,3.47
2010,FFIV,205.14,2010-02-05,2010-12-13,47.11,143.75,3.59
2010,GGP,142.33,2010-02-01,2010-11-29,6.617,16.035,1.12
2010,HL,169.79,2010-02-05,2010-12-29,4.27,11.52,1.46
2010,ILMN,123.76,2010-01-05,2010-12-15,28.9494,64.7763,1.41
2010,JASO,142.65,2010-01-29,2010-10-14,21.1,51.2,1.21
2010,LCC,174.27,2010-01-27,2010-11-04,4.47,12.26,1.56
2010,LULU,189.71,2010-02-05,2010-12-20,12.875,37.3,1.18
2010,LUMN,231.0,2010-05-06,2010-12-21,14.16,46.87,2.76
2010,LVS,272.78,2010-02-05,2010-11-05,14.88,55.47,21.0
2010,MBI,225.19,2010-01-04,2010-10-20,4.05,13.17,1.16
2010,MCP,356.36,2010-07-29,2010-12-28,12.1,55.22,1.7
2010,MTG,138.75,2010-01-25,2010-04-16,5.78,13.8,1.18
2010,NFLX,331.25,2010-01-25,2010-12-01,6.9314,29.8914,11.47
2010,OSAT,779.99,2010-06-15,2010-12-31,20989.125,184701.375,63.58
2010,OUTR,166.3,2010-01-27,2010-11-26,25.37,67.56,1.22
2010,PCLN,147.1,2010-06-08,2010-11-09,173.32,428.27,6.9
2010,PCS,134.24,2010-01-29,2010-12-09,5.52,12.93,1.17
2010,RDN,205.73,2010-02-05,2010-04-23,6.11,18.68,1.1
2010,ROVI,126.41,2010-02-05,2010-12-31,27.6,62.49,1.08
2010,RVBD,175.71,2010-01-22,2010-11-04,22.1501,61.07,1.45
2010,SIRI,177.05,2010-01-04,2010-12-23,6.1,16.9,1.9
2010,SLW,224.69,2010-02-05,2010-12-07,13.04,42.34,3.56
2010,SWKS,135.36,2010-01-29,2010-12-30,12.64,29.75,1.93
2010,TMUS,134.24,2010-01-29,2010-12-09,11.04,25.86,1.19
2010,TRW,157.42,2010-02-12,2010-12-14,21.3,54.83,1.22
2010,VMW,123.78,2010-01-22,2010-12-13,41.09,91.95,3.66
2010,VRX,130.13,2010-02-05,2010-12-15,13.41,30.86,1.35
2010,WLT,127.79,2010-07-01,2010-12-30,57.62,131.25,3.9
2010,WPM,224.69,2010-02-05,2010-12-07,13.04,42.34,3.59
2010,ZION,135.17,2010-01-04,2010-04-26,12.88,30.29,2.51
2011,ADYX,129.01,2011-04-19,2011-04-29,344.736,789.474,4.26
2011,ALU,127.84,2011-01-10,2011-05-02,2.9099,6.63,2.52
2011,ARO,95.41,2011-09-22,2011-11-08,9.16,17.9,1.02
2011,BHC,103.99,2011-01-03,2011-07-27,28.06,57.24,2.52
2011,CANB,900.0,2011-04-29,2011-07-11,101250000.0,1012500000.0,5.72
2011,COG,145.37,2011-01-05,2011-11-11,9.17,22.5,2.46
2011,CPX,121.2,2011-10-04,2011-12-05,16.46,36.41,1.3
2011,CVI,103.51,2011-01-04,2011-09-08,14.55,29.61,1.15
2011,CX,147.14,2011-10-04,2011-12-23,1.794,4.4337,1.84
2011,DDAY,53800.0,2011-02-07,2011-02-10,16.0,8624.0,2.8
2011,FMCN,160.18,2011-11-21,2011-12-09,8.79,22.87,1.63
2011,FOSL,104.36,2011-01-25,2011-07-20,66.05,134.98,2.14
2011,FST,93.92,2011-10-03,2011-12-07,8.88,17.22,1.6
2011,FSTO,93.92,2011-10-03,2011-12-07,8.88,17.22,1.6
2011,FTO,93.43,2011-01-25,2011-06-30,17.36,33.58,1.7
2011,GMCR,254.35,2011-02-02,2011-09-20,32.73,115.9799,6.26
